id,title,content,date
1342268,거래도 안되는 게임에 1차 전압의 희소성이랄게 있나,개씨발 말도 안되게 조오온나 원탑으로 이쁜 것도 아니고헤일로는 오랫동안 추가 안하면 ㅇㅈ 할지도,2025-06-18 11:19:34
1342267,디시콘에 마법사는 왜이렇게 없음,ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ이거하나,2025-06-18 11:19:29
1342266,블루잭팟이다,파반느상의 초록색이상 찾으려고 방금 150번 돌렸는데,2025-06-18 11:19:28
1342265,모비노기에 바니걸 아바타 나오면,몸부분을 살색으로 염색해서 역바니 만들 수 있을까,2025-06-18 11:19:27
1342264,아르카나 6포인트 어케 쓸까?,부캐 1명에 가방 3개 사주기 vs 부캐 3명한테 가방 1개씩 사주기1개 산다면 어떤 가방이 좋은지 추천점,2025-06-18 11:19:20
1342263,지옥5 권장 투력 몇이나 될까,3.0...?,2025-06-18 11:19:10
1342262,희소성은 나혼자 입을때 희소성인거 아니냐,원양어선 타니깐 걍 교복처럼 입고있는데희소성 ㅇㄷ?,2025-06-18 11:19:06
1342261,님들 날개 좋아함?,개 틀딱 뮤 이딴것 같아서 구린데 ㅋㅋㅋㅋ???...,2025-06-18 11:18:52
1342260,크아악 다이아몬드좀 줘,나 너무 배고파...,2025-06-18 11:18:33
1342259,속상하다 진짜 이정도밖에 안되는거였나,지옥2까지는 뭔가 사람들 성장속도가 생각보다 빠르고다음 지역은 준비가 덜되서 급조식으로 추가한거라고 납득을 했음그리고 신규 지역에서 나오는 보스기반으로 다음 어비스가 나올거라고 예상했음아니면 신규로 나오는 서큐버스가 다음 어비스 대체일지도 모른다고 생각하기도 했고근데 어비스 3~5가 나오니까 머리가 띵하네보상을 중복으로 처먹는게 싫었으면어비스라는 카테고리의 주간횟수를 제한 걸고 신규 어비스 or 기존 어비스 택1해서 각던전에서 나오는 드랍테이블로 어느 어비스를 갈지 선택하게 할수도있었을건데너무나 속상하구나...이러면 신규지역 보스도 걍 기존보스 재탕이라 기존 어비스에 추가하는건가 하는 생각도 듬..,2025-06-18 11:18:32
1342258,악기 지금 살까,악기 1나도 없긴한데,2025-06-18 11:18:26
1342257,데브캣 내일 감다살 패치,결계 1번으로 두번 보상 구멍 한번으로 x3 보상 5슬롯이니까 이정도는 해야지  - dc official App,2025-06-18 11:18:25
1342256,1차 전압 희소성 ㅇㅈㄹ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,몇번입다 질려서 대장장이옷 입고있다 시발 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2025-06-18 11:18:10
1342255,로브 삭제 되고 개쩌는 날개 같은걸로 디자인 바뀔듯?,하늘하늘 거려서 개 이쁠듯,2025-06-18 11:17:54
1342254,너희 들이 모르는 전압의 가치,전압 입고 마스던전의 몰리를 찾아가면 전압의 가치를 리본을 통해서 알 수 있다.,2025-06-18 11:17:45
1342253,pp 1개남았는데 엘리트 가방 3개중에 추천좀,부캐줄껀데 룬무게 줄이는게 젤 낫나? 추천좀,2025-06-18 11:17:42
1342252,어제시작한 뉴비인데 패스사면 내일6시까지 다 먹을 수 있을까,가능?,2025-06-18 11:17:36
1342251,내일 부캐하나 추가 못함..,닉 삭제중이라 언제 만들수있을지 모르겠음요 ㅇㅇ..,2025-06-18 11:17:29
1342250,1기 안뽑으면 좋은 이유,그만큼 나만 쓸 확률이 높아짐 ㅇㅇ제발 뽑지말고 꺼져 ㅠ,2025-06-18 11:17:20
1342249,형들 요즘 검방은 티어가 어떻게되?,2티어?1티어?1.5티어? 상향 많이 받았다고 들었는데그리고 어려워?,2025-06-18 11:17:19
1342248,근데 마스심층은 또 왜 쳐내는거노,신지역 낼거면 콜헨까지 싹다 내야지 마스 하나 달랑 내놓은 꼬라지보면 9월 업뎃하면서 북쪽폐허 심층 내고 12월에 남쪽폐허 심층 쳐낼듯 ㅋㅋㅋㅋ 병신들 수준보니까 걍 로드맵이 보이노,2025-06-18 11:17:13
1342247,전설패션 섞어입기 안될꺼 같은데,에픽 패션을 보면 섞어 입기가 안됨.전설도 똑같다면1차 2차 섞어 입으면서 세트 효과 다 보고 싶으면 1차 중에 이쁜걸 중복으로 뽑아놔야함,2025-06-18 11:17:10
1342246,나루토룩 이거 정보 아시는분??,부캐 격투가 나루토 룩 해주려하는데 이거 룩들 정보 아시는 커마 고수님 계신가요???,2025-06-18 11:17:07
1342245,생각해보니까 경매장 시스템 진짜 병신이네,상한가는 그렇다 쳐도하한가는 대체 왜 막아둔거임?,2025-06-18 11:17:06
1342244,G2 캐릭터 이동경로,콜헨 니거만나기 -> 가이레흐 -> 반호르 -> 굳이 반호르랑 존나 멀리 떨어트려둔 문게이트 2개 터치퀘 -> 반호르 -> 바리광구 1-1 퀘 -> 반호르 불량배 -> 반호르 -> 바리광구 1-2 퀘 -> 울프몬 퇴치퀘 -> 바리광구 1-3 열쇠얻으러 구름황야 클리어 퀘,2025-06-18 11:17:05
1342242,데카상점 1회만 되는거 판매 올렸다가 취소했는데,또 판매 등록 되네? 시간지나기전에 취소하면 원래 됨?,2025-06-18 11:17:03
1342241,거룬파 경매장에 올린 거 다 내림,고래형들 내일 사줄거지?,2025-06-18 11:17:03
1342240,근데 다음 아르카나는 무기압 안주면 어쩌지,이번 아르카나 룩 개별로라 다음거 나올때까지 데카 쌓아두는중인데무기압 없으면 어쩌지,2025-06-18 11:16:43
1342239,에픽보석 나오게되면,기본 2줄만 띄우려 해도 최~~~~~소 5개 안뜰떈 15개 이상도 쓰는데에픽보석 나오면 이거 보석 승급하면 옵션 다 초기화되면서 투자한거 다 날리는거 아님? 설마 ㅅㅂ 좀 다르게 내겠지 ? 옵션 이전을 해준다던지 그런..,2025-06-18 11:16:42
1342238,근데 전압 옷 기똥차게염색한애 보니까 개이쁘던데 ㅇㅇ,그라데이션 기똥차게줘서 어케저케 한애 길에서보니까ㅆㅅㅌㅊ였음 ㄹㅇ루,2025-06-18 11:16:29
1342237,1기전압이 희소성이 없는이유,1기전압때가 사람 제일많았고 앞으로 점점 줄어서 2 3 4기 갈수록 희소성이 높아질 예정,2025-06-18 11:16:27
1342236,아르카나 토탈 패키지 딱 어제까지만 기다렸다 팔껄,만데카 시발 동건이 새끼야 내가 8300에 6개 다 팔자마자 가격 화성가서 만데카 시발새끼야,2025-06-18 11:16:20
1342235,던도 1차레압이 근본이었다,후회할 행동 하지말것,2025-06-18 11:16:21
1342234,검은늑대 보유효과 스위130뭐냐,개사기엿네,2025-06-18 11:16:17
1342233,카르메나 전압으로 바꿔먹을까,좋은지도 모르겠다,2025-06-18 11:16:13
1342232,전압 어차피 컨텐츠 돌려막기로 복각할건데 뭔 희소성임,몇달있으면 돌아온 코스믹 스타차일드 어쩌구 하면서 복각함,2025-06-18 11:16:06
1342231,이새ㅣ끼들 전압 참매력을모르네,움직일때 빛떨어지는거무시함?,2025-06-18 11:15:49
1342230,던전 8단계는 진자 머냐,나크횽아 뭐하는거야,2025-06-18 11:15:39
1342229,근데 신포도질은 왜 하는지 모르겠음,어차피 안 뽑을거 아님?,2025-06-18 11:15:23
1342246,나루토룩 이거 정보 아시는분??,부캐 격투가 나루토 룩 해주려하는데 이거 룩들 정보 아시는 커마 고수님 계신가요???,2025-06-18 11:17:07
1342245,생각해보니까 경매장 시스템 진짜 병신이네,상한가는 그렇다 쳐도하한가는 대체 왜 막아둔거임?,2025-06-18 11:17:06
1342244,G2 캐릭터 이동경로,콜헨 니거만나기 -> 가이레흐 -> 반호르 -> 굳이 반호르랑 존나 멀리 떨어트려둔 문게이트 2개 터치퀘 -> 반호르 -> 바리광구 1-1 퀘 -> 반호르 불량배 -> 반호르 -> 바리광구 1-2 퀘 -> 울프몬 퇴치퀘 -> 바리광구 1-3 열쇠얻으러 구름황야 클리어 퀘,2025-06-18 11:17:05
1342242,데카상점 1회만 되는거 판매 올렸다가 취소했는데,또 판매 등록 되네? 시간지나기전에 취소하면 원래 됨?,2025-06-18 11:17:03
1342241,거룬파 경매장에 올린 거 다 내림,고래형들 내일 사줄거지?,2025-06-18 11:17:03
1342240,근데 다음 아르카나는 무기압 안주면 어쩌지,이번 아르카나 룩 개별로라 다음거 나올때까지 데카 쌓아두는중인데무기압 없으면 어쩌지,2025-06-18 11:16:43
1342239,에픽보석 나오게되면,기본 2줄만 띄우려 해도 최~~~~~소 5개 안뜰떈 15개 이상도 쓰는데에픽보석 나오면 이거 보석 승급하면 옵션 다 초기화되면서 투자한거 다 날리는거 아님? 설마 ㅅㅂ 좀 다르게 내겠지 ? 옵션 이전을 해준다던지 그런..,2025-06-18 11:16:42
1342238,근데 전압 옷 기똥차게염색한애 보니까 개이쁘던데 ㅇㅇ,그라데이션 기똥차게줘서 어케저케 한애 길에서보니까ㅆㅅㅌㅊ였음 ㄹㅇ루,2025-06-18 11:16:29
1342237,1기전압이 희소성이 없는이유,1기전압때가 사람 제일많았고 앞으로 점점 줄어서 2 3 4기 갈수록 희소성이 높아질 예정,2025-06-18 11:16:27
1342236,아르카나 토탈 패키지 딱 어제까지만 기다렸다 팔껄,만데카 시발 동건이 새끼야 내가 8300에 6개 다 팔자마자 가격 화성가서 만데카 시발새끼야,2025-06-18 11:16:20
1342235,던도 1차레압이 근본이었다,후회할 행동 하지말것,2025-06-18 11:16:21
1342234,검은늑대 보유효과 스위130뭐냐,개사기엿네,2025-06-18 11:16:17
1342233,카르메나 전압으로 바꿔먹을까,좋은지도 모르겠다,2025-06-18 11:16:13
1342232,전압 어차피 컨텐츠 돌려막기로 복각할건데 뭔 희소성임,몇달있으면 돌아온 코스믹 스타차일드 어쩌구 하면서 복각함,2025-06-18 11:16:06
1342231,이새ㅣ끼들 전압 참매력을모르네,움직일때 빛떨어지는거무시함?,2025-06-18 11:15:49
1342230,던전 8단계는 진자 머냐,나크횽아 뭐하는거야,2025-06-18 11:15:39
1342229,근데 신포도질은 왜 하는지 모르겠음,어차피 안 뽑을거 아님?,2025-06-18 11:15:23
1342228,G3 나오면 이상형퀘 할 생각에 기분 좋으면 개추 ㅋㅋㅋㅋㅋ,어떻게 나올지 존나 궁금하노 ㅋㅋㅋ진짜 개씹쓰레기 퀘였는데 ㅋㅋㅋㅋ,2025-06-18 11:15:13
1342227,거래소 최저가 바뀌는거 6시임 12시임?,예전에 장사팁이라고 올라온거에 적혀 있었는데,2025-06-18 11:15:10
1342226,나 사실 스토리 다 스킵함,제작진들이 정성들인게 보이면 나도 스토리 시도라도 해보는데겜 돌아가는 꼬라지 보고 걍 스킵함 그래서 무슨내용인지도 몰?루스토리 조음?,2025-06-18 11:15:09
1342225,딸피아재들이많아서 헤일로나 날개같은거 환장함 ㄹㅇ,우우- dc official App,2025-06-18 11:15:03
1342224,솔직히 뻥투는 권장투력 설정 잘못한 동건이 잘못임,권장투력보다 3000 높게 갔는데 딜 꼴찌인거는 뻥투 고려 안하고 설계한 데브캣 잘못임 그니까 뻥투맨들은 잘못없음반박은 일단 유효룬 3개 정도 더 만들고 받을게,2025-06-18 11:14:57
1342222,디시콘에 검술사는 왜없을까,좀 그려줘 1황이자나 이제 짤좀쓸데 많잖아 ㅋㅋ,2025-06-18 11:14:49
1342221,경험치 다이스는 1940 그대론가,2시리즈로 안줌?  - dc official App,2025-06-18 11:14:45
1342220,코스믹차일드 얻은사람만 얻을 수 있는 망토 생겼다던데,어떻게 얻는건가요,2025-06-18 11:14:44
1342219,레이드 자주 가는 파티 8명중에 나만 전압 없었네,다들 100정도 썼겠지?;; 다하면 800이노,2025-06-18 11:14:44
1342218,실시간 똥줄타는 놈들,오늘 지나면 팔지도 못 할거이악물고 가격 안내리는 놈들 ㅋㅋㅋㅋ,2025-06-18 11:14:38
1342217,모비노기 컨텐츠 던전수는 총 146개다,키아 알비 라비 마스 남쪽 북쪽 108사냥터 9개심층 12개레이드 2개어비스 15개컨텐츠 개많네낼 더 추가된다지갓겜외챠,2025-06-18 11:14:38
